candidate_id,sweep_id,source_reference,raw_capture_pointer,document_date,stable_source_id
CAND-0001,S1,LRH-2020-0001,sweeps/S1/S1-LRH-2020-0001/objects/870de05a430d1e375b7182ea5bf399927cf4f3ff4ba326b89426fe8ead690b91,,
CAND-0002,S1,LRH-2020-0002,sweeps/S1/S1-LRH-2020-0002/objects/0dd10e6bc1f9eed14e9d3a218e839cb8a5488b9ffb5baa689f72a5ff0b90c965,,
CAND-0003,S1,LRH-2020-0003,sweeps/S1/S1-LRH-2020-0003/objects/2a093e16424e78fcb8a0f96524013210a30b57ce96c2683242c747daa4cf7fdf,,
CAND-0004,S1,LRH-2020-0004,sweeps/S1/S1-LRH-2020-0004/objects/d8de78caf18c2eeafc94907baad2651bc59ab38c10fc59b81f8c848607078e00,,
CAND-0005,S1,LRH-2020-0005,sweeps/S1/S1-LRH-2020-0005/objects/ffd192d7c3a84253609db3078f43c11496a5110678cb58d3784f0e4a64f8cf2a,,
CAND-0006,S1,LRH-2020-0006,sweeps/S1/S1-LRH-2020-0006/objects/e56cad7d1f960980a11753c3fa5d0d5db353b81293385cc84a72518a37e93240,,
CAND-0007,S1,LRH-2020-0007,sweeps/S1/S1-LRH-2020-0007/objects/6a7aa2acd62bdd323f2e185f39d7cf1a53f4c9d35a5eafe34b53edf0c35c9873,,
CAND-0008,S1,LRH-2020-0008,sweeps/S1/S1-LRH-2020-0008/objects/ea4e1d633a838d7e4d3855268a164f55e5165fafbc3d922c81a8dde07f46fedc,,
CAND-0009,S1,LRH-2020-0009,sweeps/S1/S1-LRH-2020-0009/objects/60bbd4f60f62901f19d8c533134b5fd17c52906ae6bff0dd31bd479504908914,,
CAND-0010,S1,LRL-2020-0001,sweeps/S1/S1-LRL-2020-0001/objects/d8139d4213bd40dfe3d48362da9898d5c5d2a184f66c9d979b5840b94199c008,,
CAND-0011,S1,LRL-2020-0002,sweeps/S1/S1-LRL-2020-0002/objects/aabffb336b9a9496b0780e7b87ea6979963c79ba71c82d18e945ef3b40ca4753,,
CAND-0012,S1,LRL-2020-0003,sweeps/S1/S1-LRL-2020-0003/objects/964d96af54c51518cc448a02ecf1502f354b9e4d3772aa32189c2f3a0ee7a722,,
CAND-0013,S1,LRL-2020-0004,sweeps/S1/S1-LRL-2020-0004/objects/0438abf3503b69395c320267134b6dd28b0f23ba0c9b7fe1e017073f9e09d785,,
CAND-0014,S1,LRL-2020-0005,sweeps/S1/S1-LRL-2020-0005/objects/8c1278a47b7792768ecf5c90a087df5714c2fccfb7ecf2bd3a0bf8689f362333,,
CAND-0015,S1,LRL-2020-0006,sweeps/S1/S1-LRL-2020-0006/objects/e5d50d95ae83583c8506934bdced5db5f3b2a40746c31e86b2bcb9a21cf8c795,,
CAND-0016,S1,LRN-2020-0001,sweeps/S1/S1-LRN-2020-0001/objects/aa9f948dfa52d17941f6775c541a3a4cd92777966b6761509e3bc39c166449ce,,
CAND-0017,S1,LRN-2020-0002,sweeps/S1/S1-LRN-2020-0002/objects/682864221a3a7c878940cd3fa7502b644ad81735181b348d9d1ae499cd885810,,
CAND-0018,S1,LRN-2020-0003,sweeps/S1/S1-LRN-2020-0003/objects/7b9acabf98073ef00ca0cd931d9817e191758fd482ccaa6c7f843d85d94ea447,,
CAND-0019,S1,LRN-2020-0004,sweeps/S1/S1-LRN-2020-0004/objects/444d568bc4dc3b255693d6bd6da62e5c59edb13d2f2bb4d3254acc6b418bb612,,
