candidate_id,reason_code,note
CAND-0001,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0002,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0003,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0004,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0005,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0006,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0007,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0008,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0009,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0010,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0011,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0012,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0013,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0014,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0015,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0016,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0017,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0018,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0019,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0020,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0021,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0022,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0023,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0024,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0025,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0026,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
CAND-0027,R12,"SHA-bound capture body is committed fixture HTML matching frozen D5 (scripts/create_s1_fixtures.py), not a live NTNI notice. Fixture prose is not a dated operational restriction. Originating source unverifiable (X10/R12). Live NTNI re-fetch is not historical completeness."
